,Year,Company Name,Country,Industry (Exiobase),Environmental Intensity (Sales),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,Macro Industry,CompanySymbol,TotalEsgScore,EnvironmentRiskScore,SocialRiskScore,GovernanceRiskScore,EsgRatingYear
10,2019,PAGEGROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Activities auxiliary to financial intermediation (67),-0.0007897824979799789,-1732439.2451814525,-1693087.687865957,-507.38370060029297,-22441.844740908004,-5255.475173097732,-81.49645560429889,-2106.361571809413,-9240.101485455385,281.10581198021526,Activities auxiliary to financial intermediation (67),PAGE.L,,,,,
11,2019,BALOISE HOLDING,Switzerland,Activities auxiliary to financial intermediation (67),-0.00035613965312491765,-3904557.0308556096,-3818051.420660099,-1133.6275823179622,-49380.238651382635,-11280.026979227483,-190.29435353128957,-5612.435699124505,-19828.253285553576,919.266355628929,Activities auxiliary to financial intermediation (67),BLHEF,20.35,2.02,9.44,8.9,2022.0
12,2019,AXA SA,France,Activities auxiliary to financial intermediation (67),-0.00022679384589130888,-34053515.52919493,-33240363.668351106,-8229.829569461679,-434020.79852907715,-96105.56291768778,-1475.5996375775824,-108107.88206002332,-168975.18385734965,3762.9957273576993,Activities auxiliary to financial intermediation (67),CS.PA,16.98,1.39,8.28,7.31,2022.0
13,2019,DEUTSCHE BOERSE AG,Germany,Activities auxiliary to financial intermediation (67),0.01881661035259018,70085776.98164418,68577917.82431136,15203.857126257426,912013.6358067943,213827.5610849974,2809.1108787348608,-5906.250893596314,368759.0395382661,1152.2037913625923,Activities auxiliary to financial intermediation (67),DBOEY,,,,,
14,2019,CAPITA PLC,United Kingdom Of Great Britain And Northern Ireland,Activities auxiliary to financial intermediation (67),0.1596199074644459,778750412.1393894,683322867.5421987,-120334.06695088866,9329021.885655254,2134211.200883217,7829.264445236746,-4684.827989739226,83602245.19157876,479255.94956900075,Activities auxiliary to financial intermediation (67),SFOR.L,,,,,
15,2019,HACI OMER SABANCI HOLDING AS,Turkey,Activities of membership organisation n.e.c. (91),-1.976404305424414,-6240338482.033154,-5993614909.341428,-1310776.7681316729,-73898073.3286641,-17320822.014183182,-233049.72953984828,-3259152.8643219094,-150297003.43977717,-404694.5471064516,Activities of membership organisation n.e.c. (91),@HACI OMER SABANCI HOLDING AS,,,,,
16,2019,MYTILINEOS SA,Greece,Activities of membership organisation n.e.c. (91),-1.583386415597163,-4004792758.7404494,-1383990729.458981,-331742.8490955732,-18468064.873955034,-4328789.798925411,-59411.49443988098,-886.51850445618,-2597660897.237795,47763.49124662625,Activities of membership organisation n.e.c. (91),MYH.F,,,,,
17,2019,TURK SISE CAM,Turkey,Activities of membership organisation n.e.c. (91),-1.0046248518187642,-3049704500.7964087,-2510932398.8523297,-516642.02579296863,-27803810.588691115,-6514314.853900143,-88729.19669670603,-3133474.8876841753,-500326041.49204016,-389088.8992727943,Activities of membership organisation n.e.c. (91),@TURK SISE CAM,,,,,
18,2019,EURAZEO,France,Activities of membership organisation n.e.c. (91),-0.0573319157861896,-300841258.9517356,-221754801.4779095,-75228.84043259293,-2914571.970990516,-685829.9923945827,-10867.912353675296,-4309.912730484179,-75432610.18454976,36961.339625591056,Activities of membership organisation n.e.c. (91),RF.PA,,,,,
19,2019,CORP FINANCIERA ALBA,Spain,Activities of membership organisation n.e.c. (91),-0.01880640084650831,-2099922.7185211177,-1315198.339406325,-319.51569204850205,-17428.144362059662,-4064.785156247596,-56.07721167387467,-213.94164560833792,-762677.65037688,35.735329725574076,Activities of membership organisation n.e.c. (91),ALB.MC,,,,,
20,2019,RHEINMETALL AG,Germany,Activities of membership organisation n.e.c. (91),-0.01566366299906754,-109839165.54982625,-107422850.5619413,-25873.945189013528,-1426444.9250436965,-332845.1395727002,-4581.294078828732,-44424.59508424959,-585272.9165355741,3127.8276191337836,Activities of membership organisation n.e.c. (91),RHM.DE,,,,,
21,2019,SMITHS GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Activities of membership organisation n.e.c. (91),-0.005865397172556758,-17824601.81436398,-17435105.12536524,-4208.944667237454,-232077.04250864085,-54313.68865828163,-745.5540508803143,-3160.0400586435935,-95504.94417106394,513.5251160094673,Activities of membership organisation n.e.c. (91),SMIN.L,26.56,13.11,9.14,4.31,2022.0
22,2019,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),-0.004560607038301966,-431933738.09728885,-405755192.4032579,-97826.91709802327,-5290306.187785204,-1228969.6210003486,-16858.792652720418,-600003.8797699972,-18945338.659506712,758.3637820767792,Activities of membership organisation n.e.c. (91),SIE.DE,30.08,9.73,10.91,9.44,2022.0
23,2019,AKER ASA,Norway,Activities of membership organisation n.e.c. (91),0.04913820685456004,272879597.2310831,277958057.15909064,40977.65320765782,3881883.5790966875,915813.2871654789,9247.623474455055,-21560.273743305104,-9968694.72417143,63872.92696289507,Activities of membership organisation n.e.c. (91),AKER.OL,,,,,
24,2019,RYANAIR HOLDINGS PLC,Ireland,Air transport (62),-0.3119164622837699,-2694653491.748121,-2635024967.9575853,-913276.1583051607,-36235732.15307352,-8455508.279499954,-146665.14580848304,-0.7227772125040215,-14861112.024291312,983770.6932210289,Air transport (62),RYAAY,,,,,
25,2019,WIZZ AIR HOLDINGS PLC,Jersey,Air transport (62),-0.29255484325097764,-779834775.2794925,-760781287.1513809,-253671.2562126345,-10420929.91582991,-2432948.4892393397,-41149.93540723729,-2300.9439819507784,-6154754.776604322,252267.18916425016,Air transport (62),WIZZ.L,,,,,
26,2019,AIR FRANCE - KLM,France,Air transport (62),-0.262013286169911,-7986438504.329649,-7814160152.486459,-1858138.682474812,-101755369.29779497,-23747583.176641006,-331702.41137062904,-1258853.3059558042,-43546520.869758494,219815.90080727436,Air transport (62),AF.PA,,,,,
27,2019,DEUTSCHE POST AG,Germany,Air transport (62),-0.019367264067388302,-1375275773.8878574,-1346478014.4215684,-704351.4753699083,-18342176.81511663,-3903664.813491661,-101958.22056479039,-169147.11507970563,-6915253.794388999,1338792.7677232833,Air transport (62),DPW.DE,15.12,3.96,6.35,4.81,2022.0
28,2019,ROYAL MAIL HOLDINGS,United Kingdom Of Great Britain And Northern Ireland,Air transport (62),-0.013788810385838847,-190220720.7605211,-184884899.75243217,-65636.11796687006,-2392200.9777527433,-501816.6267299242,-11107.418525053943,-11362.501697848442,-2464199.748568551,110502.38315205007,Air transport (62),@ROYAL MAIL HOLDINGS,,,,,
29,2019,CTT CORREIOS DE PORTUGAL SA,Portugal,Air transport (62),-0.0027898095244178753,-2151855.4110406665,-1656086.0066220849,-2599.8926810998046,-22173.442202000515,-2948.309028256292,-330.5708471284757,0.0,-475278.0013600107,7560.811699915503,Air transport (62),CTT.LS,,,,,
30,2019,SAS AB,Sweden,Air transport (62),0.2114345415650811,1023931814.9387097,992401863.3105042,-1114050.8409335725,20009615.852755778,4403387.149140056,-1425.996370391052,0.0,7681883.9190572575,550541.5445564375,Air transport (62),SAS.ST,,,,,
31,2019,LINDE PLC,United Kingdom Of Great Britain And Northern Ireland,Chemicals nec,-0.41538814830367626,-11725576650.316174,-11159852279.143604,-2593700.7977693956,-148151710.15287495,-34733774.2156436,-466497.49182388233,-589636.99941968,-379231141.76375204,42090.25311052027,Chemicals nec,LIN,,,,,
32,2019,L'AIR LIQUIDE SA,France,Chemicals nec,-0.3664028378074868,-9004051487.209013,-8426185675.080909,-2002879.608411252,-111825588.22754514,-26225271.48616285,-356439.9981182269,-1022460.6174948735,-436571183.52693564,138011.33656491805,Chemicals nec,@L'AIR LIQUIDE SA,,,,,
33,2019,WACKER CHEMIE AG,Germany,Chemicals nec,-0.1728064845857,-954623457.5687999,-809289262.6732103,-234981.13933467717,-10330425.841152176,-2431704.5923370607,-35647.623826631105,-1858419.3670966928,-130478815.12207219,35798.80820790493,Chemicals nec,WCH.DE,26.25,10.79,5.75,9.71,2022.0
34,2019,EVONIK INDUSTRIES AG,Germany,Chemicals nec,-0.1533895718780907,-2254077705.3284526,-2175938167.9924808,-529950.0457032552,-28356411.829368114,-6640706.384519137,-92918.57294005428,-4943615.718405819,-37641838.930483736,65904.19327231306,Chemicals nec,EVK.DE,24.61,13.69,3.59,7.33,2022.0
35,2019,COVESTRO AG,Germany,Chemicals nec,-0.1422658097167675,-1979606691.0083137,-1904651781.6439035,-430166.7535685215,-24694737.1071032,-5785661.268473899,-77874.82761279981,-4681122.747180619,-39254758.055888824,-30588.55929819687,Chemicals nec,1COV.DE,21.13,11.44,3.51,6.17,2022.0
36,2019,BORREGAARD ASA,Norway,Chemicals nec,-0.1361215925024616,-78498055.47794956,-65052142.07785829,-15625.366419924887,-838063.9200326209,-190441.6211839599,-2716.23396497865,-82573.979999906,-12317815.05294623,1322.7745550441564,Chemicals nec,BRG.OL,,,,,
37,2019,SUOMINEN CORP,Finland,Chemicals nec,-0.08726431052128493,-40248568.88449016,-37467626.56239283,-9343.210551807982,-516405.5809412869,-112003.94779732046,-1586.26574166176,-2678.79491793651,-2140631.5687022656,1707.046554951265,Chemicals nec,@SUOMINEN CORP,,,,,
38,2019,CLARIANT AG,Switzerland,Chemicals nec,-0.0668346234714702,-303725334.77707684,-244189830.9262209,-61797.13039061857,-3279867.4132502247,-755896.9604736625,-10775.258310392268,-4931.293412177656,-55439989.45548307,17753.66046430587,Chemicals nec,CLN.SW,20.39,9.49,4.37,6.52,2022.0
39,2019,SYNTHOMER PLC,United Kingdom Of Great Britain And Northern Ireland,Chemicals nec,-0.05095415381757344,-98603726.94346197,-92756359.92925887,-22998.85955625382,-1227195.7837615034,-286202.40315461,-4001.232839947596,-40422.0518945372,-4270310.619020491,3763.9363253836555,Chemicals nec,SYNT.L,,,,,
40,2019,KONINKLIJKE DSM NV,Netherlands,Chemicals nec,-0.046299152610697704,-467664545.8791274,-387095523.90207106,-87790.96578989408,-5021158.469850856,-1148796.3267530545,-15825.902737153914,-1180282.8097432381,-73114658.72863787,-508.74750457544064,Chemicals nec,KDSKF,19.94,9.86,4.77,5.32,2022.0
41,2019,CRODA INTERNATIONAL PLC,United Kingdom Of Great Britain And Northern Ireland,Chemicals nec,-0.03372666057302364,-61624949.479101926,-58200242.54720963,-15971.361997300086,-757651.4183047481,-177169.6232978657,-2549.9112174424363,-38166.984897819406,-2435922.118409727,2724.486516951443,Chemicals nec,CRDA.L,22.97,11.69,5.28,6.0,2022.0
42,2019,VICTREX PLC,United Kingdom Of Great Britain And Northern Ireland,Chemicals nec,-0.030568739374193098,-11040786.718431689,-10494919.81365298,-2755.999872262608,-142635.39834202788,-30763.958094048634,-447.218453641242,-7544.441753344219,-362258.43559021014,538.5473830311962,Chemicals nec,VCT.L,,,,,
43,2019,SEVERN TRENT PLC,United Kingdom Of Great Britain And Northern Ireland,"Collection, purification and distribution of water (41)",-0.047858997559654545,-110281535.93570954,-107831051.13839695,-24796.430566233295,-1433974.0007715267,-336190.36635159684,-4499.578164911103,-3106.1714553945,-648204.6758706822,286.42586778859226,"Collection, purification and distribution of water (41)",SVT.L,15.14,6.06,5.59,3.5,2022.0
44,2019,UNITED UTILITIES GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,"Collection, purification and distribution of water (41)",-0.040706264037581666,-96511458.35703927,-94357957.18032363,-21719.26749084913,-1254782.29892705,-294179.32424798945,-3939.145070126131,-3195.978499210715,-575979.8696233351,294.70714293002527,"Collection, purification and distribution of water (41)",UU.L,12.76,3.71,3.44,5.61,2022.0
45,2019,CAPGEMINI SE,France,Computer and related activities (72),-0.002973428144949186,-47084992.89944732,-42151501.77868926,-11802.895241408649,-561815.1840041473,-130983.07968146735,-1983.5544905326856,-24957.813910937497,-4208065.922539336,6117.329109778315,Computer and related activities (72),CAP.PA,10.08,0.5,5.75,3.83,2022.0
46,2019,AVEVA GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Computer and related activities (72),-0.0029197538972612572,-2918229.7857268867,-2677660.6574296444,-683.1221330403828,-35552.576977920464,-8337.976806118993,-117.42506254710955,-1032.4082059483912,-194993.3878245534,147.76871288802872,Computer and related activities (72),AVV.L,,,,,
47,2019,GLOBANT SA,Luxembourg,Computer and related activities (72),-0.0024731969860289555,-1630640.6028135412,-1534982.9551531118,-412.4680191692126,-19900.67647190394,-4659.096465653013,-68.06586512494867,-1147.3653898136915,-69574.17747875172,104.2020299892421,Computer and related activities (72),GLOB.BA,,,,,
48,2019,VIDENDUM PLC,United Kingdom Of Great Britain And Northern Ireland,Computer and related activities (72),-0.0024408147874112785,-1217493.06084947,-1102614.7756327444,-287.4755871909749,-14634.757136650323,-3432.4622237722,-48.8753787219884,-515.2403630458031,-96033.22094357433,73.74641623009815,Computer and related activities (72),VID.L,,,,,
49,2019,SDL PLC,United Kingdom Of Great Britain And Northern Ireland,Computer and related activities (72),-0.002364832933982334,-1180221.9020284314,-1066104.852189924,-279.1450810018768,-14149.171718637928,-3318.618763290335,-47.35738313047354,-515.5151270553984,-95881.02750862773,73.78574323642367,Computer and related activities (72),@SDL PLC,,,,,
50,2019,ACCENTURE PLC,Ireland,Computer and related activities (72),-0.0021344299780871215,-92239419.25062467,-87711469.1788761,-22077.788786781257,-1163761.5937942865,-271982.79973539064,-3847.014654943015,-23038.474637196334,-3048473.640076912,5231.239936947181,Computer and related activities (72),ACN,9.71,0.29,4.58,4.83,2022.0
51,2019,SOPHOS GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Computer and related activities (72),-0.00209794784449892,-1484658.9470122398,-1326940.2791682438,-353.56634579951526,-17605.796706138062,-4129.593454865873,-59.461250741099235,-730.9879556327502,-134943.88852638393,104.62639556538214,Computer and related activities (72),@SOPHOS GROUP PLC,,,,,
52,2019,SAGE GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Computer and related activities (72),-0.0016340495628430663,-3886384.2630764404,-3380247.44480106,-941.4385799621535,-44814.79062853585,-10513.300255738763,-154.9144197312099,-2456.73731610972,-447607.27018807083,351.63311276864334,Computer and related activities (72),SGE.L,17.72,1.27,11.17,5.28,2022.0
53,2019,NCC GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Computer and related activities (72),-0.0015332552533385896,-485338.1511470505,-418667.8103309713,-118.15910446894858,-5549.326902925849,-1301.9022520688925,-19.318608558275017,-326.9702043657886,-59401.46302906452,46.79928537325432,Computer and related activities (72),NCC.L,,,,,
54,2019,INDRA SISTEMAS SA,Spain,Computer and related activities (72),-0.0015094161163888586,-5457340.760703526,-2578504.415106116,-762.6588228406039,-34608.95578681109,-8093.637370149962,-126.3320259930686,-1530.9728140952232,-2834215.327968565,501.5391910446859,Computer and related activities (72),0HA9.IL,,,,,
55,2019,DASSAULT SYSTEMS SA,France,Computer and related activities (72),-0.001245042635386218,-5608573.440647545,-5481030.650181937,-1868.8712164869264,-73241.34292166987,-16962.72161872944,-293.3168256812364,-7099.858089568751,-29816.903064692913,1740.223271220894,Computer and related activities (72),@DASSAULT SYSTEMS SA,,,,,
56,2019,ATEA ASA,Norway,Computer and related activities (72),-0.0004327777611150718,-1806849.3165442303,-1744570.7910839457,-467.3837913142253,-23250.841103619572,-5394.7634562226485,-78.55557116410895,-1509.3219076955318,-31734.864863527473,157.20523325929648,Computer and related activities (72),ATEA.OL,,,,,
57,2019,TEMENOS AG,Switzerland,Computer and related activities (72),0.002811522370058518,2803804.7411527075,2774479.4048521337,571.9814522365454,36967.54259614165,8690.786155320826,109.56769178005172,-726.0063777787775,-16444.18345554376,155.64823841685669,Computer and related activities (72),TEMN.SW,,,,,
58,2019,TRAKYA CAM SANAYII AS,Turkey,Construction (45),-0.4931537582900546,-551333079.7705655,-479012788.78814894,-109829.57117351657,-6368537.772976499,-1492929.292939468,-19965.60786993133,-108542.11917260973,-64221329.83301128,843.2152839834604,Construction (45),@TRAKYA CAM SANAYII AS,,,,,
59,2019,BOSKALIS WESTMINSTER NV,Netherlands,Construction (45),-0.11564956897915461,-342878767.30594945,-334747410.6102695,-79943.16839446296,-4438528.123903221,-1039479.4872763805,-14281.422128800239,-19906.377856746476,-2548678.1795148654,9460.063394605802,Construction (45),KBWA.BE,,,,,
60,2019,COMPAGNIE DE SAINT GOBAIN,France,Construction (45),-0.058720563518037075,-2802599729.5217953,-2645722133.709889,-852282.306163661,-35461207.57201348,-8319654.272385731,-132550.27754116716,-13610.527240297168,-112656581.70062187,558290.844060598,Construction (45),SGO.PA,20.18,8.43,6.14,5.61,2022.0
61,2019,FERROVIAL SA,Spain,Construction (45),-0.056533275704808685,-383692359.80749923,-227758925.780606,-64615.28192023364,-3069922.190299701,-717115.6443382773,-10838.650553056717,-5367.85558118345,-152101181.07130188,35606.66710115722,Construction (45),FRRVY,,,,,
62,2019,COLAS SA,France,Construction (45),-0.038929631653661895,-597388550.5890989,-584421741.4167063,-134929.33179008923,-7786507.677951119,-1819847.2888955374,-24429.043798056347,-4376.034006412989,-3200079.513773713,3359.7178223487563,Construction (45),RE.PA,,,,,
63,2019,TARKETT PROMESSES,France,Construction (45),-0.027308059815365097,-91595574.60224518,-88465446.83741356,-20510.609840149078,-1179597.952146908,-275312.3689368742,-3704.9256839055565,-956.5060778971302,-1650779.7635590476,734.3614131851914,Construction (45),@TARKETT PROMESSES,,,,,
64,2019,ACTIVIDADES CONSTR Y SERVICI,Spain,Construction (45),-0.023397464002466777,-1024268699.2616919,-1006712905.1455135,-233521.94705722868,-13485805.226561327,-3125173.3277239455,-42350.36273681659,-34623.17855033259,-651782.8683445817,17462.794796287,Construction (45),@ACTIVIDADES CONSTR Y SERVICI,,,,,
65,2019,GENUIT GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.022751650139383087,-13506153.07884254,-13212902.97650291,-3067.79407771129,-175787.14428149987,-41193.91991200675,-554.439499720674,-328.56009131639667,-72436.23669080198,117.99221342962872,Construction (45),GEN.L,,,,,
66,2019,KELLER GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.021258049220883788,-64859604.91391891,-63451250.12695801,-14747.798556129546,-844188.5655161036,-197820.5824747296,-2664.059041968615,-1688.6783451956871,-347851.53972124174,606.4366944932676,Construction (45),KLR.L,,,,,
67,2019,KINGSPAN GROUP PLC,Ireland,Construction (45),-0.021202570714883382,-110745776.21967605,-108342126.28545122,-24727.119992505803,-1444279.031453241,-337140.43044204504,-4506.118483461846,-297.7768997189478,-592839.3105593367,139.85360548933554,Construction (45),KRX.IR,,,,,
68,2019,GEBERIT AG,Switzerland,Construction (45),-0.01949807066226555,-62099873.20594545,-60377945.463097304,-17411.774674083277,-795811.776168953,-186590.8533517428,-2761.7210700954765,-1079.9161150992447,-724077.1821188799,5805.480650737882,Construction (45),GEBN.SW,13.09,5.55,2.18,5.36,2022.0
69,2019,MAIRE TECNIMONT SPA,Italy,Construction (45),-0.01943797764435323,-71855477.81090894,-61025643.21635425,-16782.51914789635,-792090.7921539755,-184854.46904280176,-2841.7461031262774,-19370.907118446055,-9822239.302962398,8345.141973964524,Construction (45),3OY1.F,,,,,
70,2019,STRABAG SE,Austria,Construction (45),-0.017344309322468564,-304665367.8734191,-297028109.43017447,-74875.29122647268,-3918602.8264178834,-918766.0658314148,-12870.83644757936,-17131.772531034385,-2707360.640897168,12348.990106931382,Construction (45),STR.VI,,,,,
71,2019,YIT CORP,Finland,Construction (45),-0.015362464416055797,-58410286.54225563,-57141807.2375648,-14835.70388801752,-760625.89209641,-177598.7377203014,-2512.131872994856,-2937.1025792689943,-313264.42548681033,3294.6889529827545,Construction (45),YIT.HE,,,,,
72,2019,JOHNSON CONTROLS INTL PLC,Ireland,Construction (45),-0.014996459899896506,-359435150.8807195,-329153453.5304373,-76849.01127732344,-4399387.427051416,-1025177.5962548722,-13894.001817646766,-2217.2000199278987,-24770212.58591569,6040.472054723627,Construction (45),@JOHNSON CONTROLS INTL PLC,,,,,
73,2019,CIE D'ENTREPRISES CFE,Belgium,Construction (45),-0.013902371225024735,-56493717.41712419,-54117487.751255296,-12818.008867231812,-701003.2357073309,-163623.20478771083,-2262.098728808665,-257711.56583437193,-1239421.5391207035,609.9944403347221,Construction (45),@CIE D'ENTREPRISES CFE,,,,,
74,2019,OBRASCON HUARTE LAIN SA,Spain,Construction (45),-0.010138033349303015,-33640934.6826587,-32903871.454590917,-10090.527881361484,-435032.41032289446,-102329.0670763887,-1562.9321293749965,-2624.437049744856,-189974.7757721627,4550.92216415037,Construction (45),0MKG.IL,,,,,
75,2019,ASSA ABLOY AB,Sweden,Construction (45),-0.009189846596964363,-92278530.45535429,-90269727.77760687,-20595.111493529592,-1192504.9287040592,-279039.5634932461,-3737.3553283889896,-287.44413417244317,-512240.38143772667,-397.8931562757772,Construction (45),ASSA-B.ST,17.06,7.93,3.45,5.68,2022.0
76,2019,VEIDEKKE A/S,Norway,Construction (45),-0.008349852295804901,-34778879.93115724,-33604959.75374242,-8272.626751492557,-447948.48337240575,-104287.04023968757,-1447.1745090208435,-1339.3607058631658,-611925.9171285934,1300.4252922387623,Construction (45),VK4.BE,,,,,
77,2019,ELECNOR SA,Spain,Construction (45),-0.0069641623916681114,-19157178.08273565,-18730446.706053868,-4698.075199193531,-253757.52796311222,-57302.150437037526,-811.9828808602153,-2175.627144851804,-109083.32797621525,1097.3149194996101,Construction (45),EK5.MU,,,,,
78,2019,NMCN PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.005615794124350517,-3019477.7216042886,-2953712.796045856,-717.2986337714746,-39337.73468899311,-9205.504069517827,-127.015347428286,-297.58887742048955,-16186.653799407799,106.86985810783926,Construction (45),@NMCN PLC,,,,,
79,2019,AF GRUPPEN ASA,Norway,Construction (45),-0.005298017272561927,-13645080.571604151,-13089685.64857921,-3356.7826170775716,-174715.32045030943,-40508.123452740874,-574.7952684589122,-828.1776192924592,-336215.82599058957,804.1023735274696,Construction (45),AFG.OL,,,,,
80,2019,MCCARTHY & STONE PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.005047269835655128,-4057586.0244703633,-3969169.6563242185,-970.2298972344357,-52869.882008093104,-12369.60126780396,-171.29932474619736,-444.9459480602588,-21750.19830099971,159.78860079393502,Construction (45),@MCCARTHY & STONE PLC,,,,,
81,2019,SKANSKA AB,Sweden,Construction (45),-0.004484322714813176,-82772633.15830973,-80667162.25327502,-18358.563863982356,-1058044.831873735,-247063.10237580584,-3321.106640121101,-528.3855773717647,-777423.4995168388,-731.4151868721831,Construction (45),SKA-B.ST,27.41,4.89,13.34,9.18,2022.0
82,2019,MJ GLEESON PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.0035273616010842567,-1118639.2392750524,-1094215.309751608,-274.9008465120542,-14584.752751042935,-3409.2570976839716,-47.94800903802141,-175.52383940163722,-5994.580947882728,63.03396811733327,Construction (45),GLE.L,,,,,
83,2019,PERSIMMON PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.0020019722613978217,-9689651.849695312,-9477032.158335371,-2543.756787488388,-126530.61345473435,-29510.631695179934,-431.1574532274843,-2678.8362116324192,-51886.71708156679,962.0213238910081,Construction (45),PSN.L,16.59,6.32,5.55,4.72,2022.0
84,2019,BELLWAY PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.001889807519326681,-7387391.769381868,-7225179.611262133,-1956.3711289120056,-96487.62157436067,-22496.779917474683,-330.37111512022545,-2163.563280947988,-39554.42806135261,776.9769584349484,Construction (45),BWY.L,,,,,
85,2019,BOOT (HENRY) PLC,United Kingdom Of Great Britain And Northern Ireland,Construction (45),-0.001714398274728981,-863322.9680018225,-844342.4812675999,-232.26042429501962,-11280.376668691248,-2628.617832063977,-38.96216311173426,-278.71325143839556,-4621.647654389973,100.0912597681147,Construction (45),BOOT.L,,,,,
